Age,Sex,Types,Co2,Exercise,Num_of_use
50대,M,일일(회원),0,0,1
기타,M,일일(회원),0.55,58.47,2
20대,,정기,15.94,1691.52,42
30대,,정기,9.29,997.2,25
40대,,정기,12.87,1376.21,25
50대,,정기,1.8,220.78,8
60대,,정기,1.29,136.75,1
기타,,정기,0.29,31.66,1
20대,,정기,0.56,56.23,2
20대,F,정기,14.93,1560.07,41
30대,F,정기,7.74,733.89,16
40대,F,정기,1.09,121.73,4
50대,F,정기,1.8,191.42,3
기타,F,정기,1.42,178.12,3
10대,M,정기,0.43,53.66,2
20대,M,정기,47.06,5506.62,80
30대,M,정기,24.21,2874.56,46
40대,M,정기,10.92,1400.68,18
50대,M,정기,6.53,885.74,11
60대,M,정기,2.06,228.32,3
70대이상,M,정기,0.46,42.44,2
기타,M,정기,5.02,568.31,10
10대,M,단체,2.69,353.85,4
기타,,일일(비회원),3.46,384.37,5
10대,,일일(회원),0.29,26.15,1
20대,,일일(회원),7.5,891.87,17
30대,,일일(회원),2.82,313.77,2
기타,,일일(회원),0.29,29.79,2
20대,,일일(회원),0.98,109.52,2
30대,,일일(회원),0,0,1
20대,F,일일(회원),11.21,1150.56,12
30대,F,일일(회원),1.13,122.84,3
기타,F,일일(회원),0.51,48.16,2
10대,M,일일(회원),0.31,34.25,1
20대,M,일일(회원),5.72,647.52,16
30대,M,일일(회원),13.53,1830.55,11
40대,M,일일(회원),0.24,33.77,1
50대,M,일일(회원),0.38,48.41,1
기타,M,일일(회원),1.11,120.06,5
20대,,정기,14.7,1497.8,45
30대,,정기,10.9,1197.34,27
40대,,정기,4.68,481.1,9
50대,,정기,0.41,41.12,2
60대,,정기,0.2,17.03,1
20대,,정기,1.91,228.3,3
40대,,정기,1.84,213.54,1
50대,,정기,0,0,1
20대,F,정기,11.42,1075.76,23
30대,F,정기,17.34,1781.22,48
40대,F,정기,0,0,2
50대,F,정기,1.79,195.4,6
기타,F,정기,0.36,36.58,1
10대,M,정기,1.32,155.78,2
20대,M,정기,14.47,1712.52,46
30대,M,정기,18.48,2218.67,67
40대,M,정기,28.85,3127.59,29
50대,M,정기,13.76,1757.34,8
60대,M,정기,0.43,49.42,2
기타,M,정기,3.58,450.65,12
20대,F,단체,0.34,27.98,1
20대,M,단체,1.44,214.64,2
20대,,일일(비회원),0.3,32.95,1
50대,,일일(비회원),0,0.51,2
기타,,일일(비회원),8.99,997.93,22
10대,,일일(회원),2.01,274.35,4
20대,,일일(회원),15.74,1717.26,43
30대,,일일(회원),11.16,1220.58,29
40대,,일일(회원),1.89,248.46,5
50대,,일일(회원),0.67,74.33,2
기타,,일일(회원),0.26,26.61,3
20대,,일일(회원),4.73,533.99,9
10대,F,일일(회원),0.34,23.28,1
20대,F,일일(회원),17.32,1707.32,38
30대,F,일일(회원),7.73,842.98,15
40대,F,일일(회원),1.69,188.86,4
기타,F,일일(회원),4.28,462.03,8
10대,M,일일(회원),6.37,690.33,11
20대,M,일일(회원),13.59,1631.11,38
30대,M,일일(회원),4.64,573.86,14
40대,M,일일(회원),6.84,957.26,11
50대,M,일일(회원),0.21,25.45,3
기타,M,일일(회원),3.72,496.73,7
10대,,정기,2.81,163.45,2
20대,,정기,72.07,8223.13,263
30대,,정기,58.05,7124.87,183
40대,,정기,24.96,2822.7,87
50대,,정기,29.06,3610.16,59
60대,,정기,34.59,4122.65,74
70대이상,,정기,1.38,152.64,3
기타,,정기,3.94,471.99,14
20대,,정기,7.02,676.69,26
30대,,정기,7.68,917.4,15
40대,,정기,6.19,822.5,7
50대,,정기,2.42,330.12,8
70대이상,,정기,0.86,117.31,2
10대,F,정기,1.44,116.14,6
20대,F,정기,34.03,3248.87,153
30대,F,정기,66.96,6318.2,179
40대,F,정기,42.43,3899.51,51
50대,F,정기,7.67,871.35,22
60대,F,정기,0.35,39.12,3
70대이상,F,정기,3.27,379.54,4
기타,F,정기,11.54,1173.33,37
10대,M,정기,1.26,142,6
20대,M,정기,89.83,11084.46,248
30대,M,정기,103.87,12532.95,360
40대,M,정기,63.72,8470.44,162
50대,M,정기,59.21,7395.25,119
60대,M,정기,13.8,1696.6,52
70대이상,M,정기,0.45,47.5,4
기타,M,정기,24.27,2990.5,98
10대,F,단체,0.82,91.01,2
20대,F,단체,0.21,22.54,2
30대,F,단체,0,0,3
10대,M,단체,4.38,593.74,7
20대,M,단체,0.26,25.93,3
기타,,일일(비회원),12.54,1391.31,19
20대,,일일(회원),25.07,2696.02,44
30대,,일일(회원),3.72,431.38,7
40대,,일일(회원),1.13,128.55,2
50대,,일일(회원),0.73,99.79,1
기타,,일일(회원),0.46,47.41,2
10대,,일일(회원),1.01,109.02,2
20대,,일일(회원),4.26,530.09,5
10대,F,일일(회원),2.33,257.66,3
20대,F,일일(회원),17.47,1621.37,21
30대,F,일일(회원),4.04,427.54,5
40대,F,일일(회원),1.63,142.52,3
기타,F,일일(회원),2.3,205.22,7
10대,M,일일(회원),9.22,1157.17,12
20대,M,일일(회원),30.65,3694.56,35
30대,M,일일(회원),18.02,2280.87,18
40대,M,일일(회원),1.36,167.8,4
50대,M,일일(회원),0.29,31.68,3
기타,M,일일(회원),6.27,704.41,14
10대,,정기,2.83,346.12,6
20대,,정기,56.44,6427.8,131
30대,,정기,34.99,4011.39,72
40대,,정기,16.72,1977.49,28
50대,,정기,5.39,676.63,17
60대,,정기,4.79,545.28,15
기타,,정기,2.07,277.1,9
20대,,정기,10.56,1181.35,23
30대,,정기,5.82,643.96,12
40대,,정기,0.61,65.83,2
50대,,정기,2.94,381.92,2
10대,F,정기,0,0,1
20대,F,정기,21.89,2063.47,62
30대,F,정기,11.06,1088.91,31
40대,F,정기,11.9,1079.64,17
50대,F,정기,1.1,119.62,10
기타,F,정기,3.77,358.25,14
10대,M,정기,0.95,107.38,5
20대,M,정기,52.76,6161.18,145
30대,M,정기,30.73,3946.91,92
40대,M,정기,24.76,3115.58,61
50대,M,정기,12,1491.15,28
60대,M,정기,2.48,336.17,10
70대이상,M,정기,0.25,25.11,1
