Bid,Department
SPB-30234,영남1팀
SPB-30235,
SPB-30236,
SPB-30237,세종로1팀
SPB-30238,
SPB-30239,영남1팀
SPB-30240,중랑2팀
SPB-30241,개화4팀
SPB-30242,
SPB-30243,개화2팀
SPB-30244,
SPB-30245,훈련원1팀
SPB-30246,영남3팀
SPB-30247,
SPB-30248,
SPB-30249,
SPB-30250,
SPB-30251,
SPB-30252,세종로2팀
SPB-30253,
SPB-30254,
SPB-30255,
SPB-30256,
SPB-30258,상암2팀
SPB-30259,훈련원3팀
SPB-30260,
SPB-30262,
SPB-30263,
SPB-30264,상암1팀
SPB-30265,중랑1팀
SPB-30267,훈련원3팀
SPB-30268,
SPB-30269,훈련원1팀
SPB-30270,
SPB-30271,상암2팀
SPB-30272,
SPB-30273,상암2팀
SPB-30274,
SPB-30275,
SPB-30276,
SPB-30277,
SPB-30278,영남1팀
SPB-30279,
SPB-30280,
SPB-30281,
SPB-30282,영남1팀
SPB-30283,
SPB-30284,
SPB-30285,
SPB-30286,
SPB-30287,
SPB-30288,
SPB-30289,
SPB-30290,훈련원3팀
SPB-30291,중랑1팀
SPB-30292,
SPB-30293,
SPB-30294,
SPB-30295,
SPB-30296,
SPB-30297,
SPB-30298,
SPB-30299,상암1팀
SPB-30300,
SPB-30301,
SPB-30302,
SPB-30303,
SPB-30304,영남3팀
SPB-30305,
SPB-30306,
SPB-30307,
SPB-30308,개화4팀
SPB-30309,
SPB-30310,영남1팀
SPB-30311,
SPB-30312,
SPB-30313,
SPB-30314,
SPB-30315,
SPB-30316,
SPB-30317,상암2팀
SPB-30318,
SPB-30319,훈련원1팀
SPB-30320,
SPB-30321,
SPB-30322,
SPB-30323,
SPB-30324,
SPB-30325,상암1팀
SPB-30326,중랑1팀
SPB-30327,
SPB-30328,상암1팀
SPB-30329,
SPB-30330,
SPB-30331,
SPB-30332,상암1팀
SPB-30333,
SPB-30334,상암1팀
SPB-30335,훈련원4팀
SPB-30336,
SPB-30337,
SPB-30339,
SPB-30340,
SPB-30341,중랑1팀
SPB-30342,
SPB-30343,
SPB-30344,
SPB-30345,
SPB-30346,영남3팀
SPB-30347,중랑2팀
SPB-30348,
SPB-30350,
SPB-30351,영남1팀
SPB-30352,훈련원4팀
SPB-30353,
SPB-30354,
SPB-30355,
SPB-30356,영남3팀
SPB-30357,
SPB-30358,영남1팀
SPB-30359,
SPB-30360,
SPB-30361,
SPB-30363,
SPB-30364,영남3팀
SPB-30365,
