Department,District,Sname,Stid,Stid_temp
세종로3팀,용산구,4609. 파크타워 104동 앞,4609,4609
도봉3팀,도봉구,1757.솔밭공원역 1번출구 앞,1757,1757
학여울1팀,강남구,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),2357,2357
도봉1팀,노원구,1635. 상계3.4동 주민센터 대여소,1635,1635
학여울1팀,강남구,3630. 개포우성6차아파트 정문 앞,3630,3630
훈련원2팀,성북구,1315. 고려사대부속중고 정문,1315,1315
세종로2팀,중구,4762. 국제빌딩,4762,4762
중랑1팀,광진구,3521. 현대홈타운 뒷길,3521,3521
도봉3팀,도봉구,1714. 도봉문화정보도서관 삼거리,1714,1714
중랑3팀,중랑구,4827. 신내SK V1센터 앞,4827,4827
이수1팀,강남구,3634. 국악고교 앞 교차로,3634,3634
상암3팀,은평구,4667. 폭포동입구 교차로,4667,4667
학여울1팀,강남구,2382. 역삼동 sk뷰 501동앞,2382,2382
훈련원2팀,성북구,1323. 월곡역 입구 육교 밑,1323,1323
도봉4팀,강북구,1573.현대성우아파트 옆,1573,1573
천호2팀,송파구,5751. 송파여성축구장,5751,5751
이수2팀,서초구,2223. 방배래미안 정문 앞,2223,2223
이수2팀,관악구,3802. 관악구민체육센터,3802,3802
세종로3팀,용산구,867.서빙고역 광장(1번출구),867,867.
상암3팀,은평구,966. 서울혁신파크1,966,966.
학여울2팀,송파구,4490. 송파파인타운 10단지 1005동,4490,4490
천호1팀,강동구,1053. 동명근린공원 진입로 (아리수로),1053,1053
학여울1팀,강남구,2326. 대치동 삼성로,2326,2326
이수2팀,동작구,2094.숭실대학교(중문),2094,2094
중랑3팀,중랑구,4815. 중랑데시앙플렉스 앞,4815,4815
상암2팀,은평구,978.녹번 힐스테이트상가앞,978,978.
천왕3팀,금천구,1868.우리은행 시흥남자동화점 앞,1868,1868
학여울2팀,강남구,2351. 청소년수련관(수영장)앞,2351,2351
천호1팀,강동구,3659. 명일초등학교 옆,3659,3659
천호2팀,송파구,2649.오금공원사거리2,2649,2649
개화1팀,강서구,1188. 롯데중앙연구소,1188,1188
상암3팀,은평구,952. 서울연신중학교,952,952.
천호1팀,강동구,3661. 명일동신동아아파트 앞,3661,3661
이수2팀,관악구,3307.봉천고개 육교,3307,3307
학여울1팀,강남구,2329. 르네상스호텔사거리 역삼지하보도 2번출구,2329,2329
천왕1팀,구로구,1971. 오정초교 앞 보도육교,1971,1971
학여울1팀,강남구,2368. 도곡동 경남아파트 건너편,2368,2368
상암1팀,서대문구,159. 이대역 4번 출구,159,159.
상암1팀,마포구,4247. 서울서부지방법원등기국앞,4247,4247
도봉3팀,도봉구,1731. 도봉고등학교 맞은편,1731,1731
상암3팀,은평구,928. 은평역사한옥박물관,928,928.
